"";"area"
"Acanthopoma.annectens";102751
"Acestrocephalus.boehlkei";86728
"Acestrocephalus.pallidus";29868
"Acestrorhynchus.altus";51520
"Acestrorhynchus.falcatus";355866
"Acestrorhynchus.falcirostris";176627
"Acestrorhynchus.microlepis";173320
"Acrobrycon.ipanquianus";19505
"Adontosternarchus.balaenops";44984
"Aequidens.plagiozonatus";75481
"Aequidens.tetramerus";341128
"Ageneiosus.inermis";146144
"Ageneiosus.ucayalensis";59172
"Ageneiosus.uranophthalmus";5521
"Ageneiosus.vittatus";205391
"Anablepsoides.beniensis";110295
"Anadoras.weddellii";73360
"Anchoviella.carrikeri";77005
"Anchoviella.guianensis";353165
"Ancistrus.bolivianus";11440
"Ancistrus.bufonius";43347
"Ancistrus.dubius";65254
"Ancistrus.megalostomus";21874
"Ancistrus.montanus";22075
"Ancistrus.occloi";13570
"Ancistrus.tamboensis";8064
"Ancistrus.temminckii";110118
"Aphanotorulus.unicolor";139004
"Aphyocharax.alburnus";187323
"Aphyocharax.nattereri";34940
"Aphyocharax.pusillus";145327
"Apionichthys.finis";76387
"Apistogramma.cacatuoides";117514
"Apistogramma.gephyra";75664
"Apistogramma.luelingi";132664
"Apistogramma.resticulosa";85227
"Apistogramma.staecki";84575
"Apistogramma.trifasciata";41216
"Apomatoceros.alleni";62526
"Apteronotus.bonapartii";35480
"Astroblepus.caquetae";13407
"Astroblepus.sabalo";27193
"Astroblepus.supramollis";28985
"Astyanacinus.multidens";87571
"Astyanax.abramis";246605
"Astyanax.bimaculatus";160393
"Astyanax.fasciatus";193523
"Astyanax.guaporensis";83835
"Astyanax.integer";21155
"Astyanax.maximus";163752
"Attonitus.bounites";39478
"Attonitus.ephimeros";20476
"Attonitus.irisae";19339
"Auchenipterichthys.longimanus";128895
"Auchenipterichthys.thoracatus";110191
"Auchenipterus.ambyiacus";124960
"Auchenipterus.brachyurus";161121
"Batrochoglanis.raninus";151535
"Biotodoma.cupido";155496
"Boehlkea.fredcochui";122820
"Brachychalcinus.copei";123986
"Brachychalcinus.nummus";108861
"Brachyhypopomus.brevirostris";119608
"Brachyhypopomus.walteri";131295
"Brachyplatystoma.juruense";77612
"Brachyrhamdia.marthae";75746
"Brycon.cephalus";144477
"Brycon.melanopterus";228727
"Bryconacidnus.ellisi";63850
"Bryconacidnus.hemigrammus";7998
"Bryconacidnus.paipayensis";8645
"Bryconamericus.alfredae";24581
"Bryconamericus.alpha";102893
"Bryconamericus.bolivianus";19007
"Bryconamericus.diaphanus";87633
"Bryconamericus.galvisi";728
"Bryconamericus.grosvenori";22990
"Bryconamericus.pachacuti";39625
"Bryconamericus.pectinatus";19171
"Bryconops.alburnoides";94551
"Bryconops.caudomaculatus";239852
"Bujurquina.cordemadi";64756
"Bujurquina.eurhinus";24863
"Bujurquina.hophrys";46129
"Bujurquina.huallagae";39446
"Bujurquina.labiosa";1441
"Bujurquina.mariae";76150
"Bujurquina.moriorum";77638
"Bujurquina.peregrinabunda";134676
"Bujurquina.robusta";7919
"Bujurquina.syspilus";190322
"Bujurquina.tambopatae";9220
"Bujurquina.zamorensis";19904
"Bunocephalus.coracoideus";214149
"Bunocephalus.knerii";51021
"Caenotropus.labyrinthicus";129108
"Calophysus.macropterus";119473
"Caquetaia.myersi";44946
"Carnegiella.marthae";130259
"Carnegiella.strigata";265098
"Catoprion.mento";83371
"Centromochlus.altae";221176
"Centromochlus.heckelii";131530
"Centromochlus.perugiae";198276
"Ceratobranchia.binghami";63768
"Ceratobranchia.delotaenia";30901
"Ceratobranchia.obtusirostris";56655
